book_id,title,author,isbn,isbn13,asin,num_pages,avg_rating,num_ratings,year_pub_ed,text_review_count,genre,publisher,language,title_URL
112,"The Raven Boys
 (The Raven Cycle, #1)","Stiefvater, Maggie",545424925,9.78E+12,545424925,409,4.05,349724,2012,39368,Fantasy,Scholastic Press,English,https://www.goodreads.com/book/show/17675462-the-raven-boys
113,"Mile High
 (Windy City, #1)","Tomforde, Liz",,9.80E+12,,603,4.22,93761,2022,10257,Romance,Independently published,English,https://www.goodreads.com/book/show/60909831-mile-high
114,"The Hostile Hospital
 (A Series of Unfortunate Events, #8)","Snicket, Lemony",1405206128,9.78E+12,1405206128,272,3.99,114017,2003,3263,Fiction,Egmont,English,https://www.goodreads.com/book/show/65118.The_Hostile_Hospital
115,"The Vile Village
 (A Series of Unfortunate Events, #7)","Snicket, Lemony",60566221,9.78E+12,60566221,272,3.97,137390,2001,3602,Fiction,HarperCollins Publishers,English,https://www.goodreads.com/book/show/150037.The_Vile_Village
116,"The Ersatz Elevator
 (A Series of Unfortunate Events, #6)","Snicket, Lemony",60566213,9.78E+12,60566213,259,4.05,142133,2001,4260,Fiction,HarperCollins Publishers,English,https://www.goodreads.com/book/show/172327.The_Ersatz_Elevator
117,"The Austere Academy
 (A Series of Unfortunate Events, #5)","Snicket, Lemony",64408639,9.78E+12,64408639,221,4,154636,2000,4857,Fiction,HarperCollins,English,https://www.goodreads.com/book/show/131123.The_Austere_Academy
118,"The Miserable Mill
 (A Series of Unfortunate Events, #4)","Snicket, Lemony",439272637,9.78E+12,439272637,194,3.86,163753,2000,5184,Fiction,"Scholastic, Inc.",English,https://www.goodreads.com/book/show/65119.The_Miserable_Mill
119,"The Wide Window
 (A Series of Unfortunate Events, #3)","Snicket, Lemony",64407683,9.78E+12,64407683,214,3.95,187079,2000,6347,Fiction,HarperCollins Publishers,English,https://www.goodreads.com/book/show/438492.The_Wide_Window
120,"The Reptile Room
 (A Series of Unfortunate Events, #2)","Snicket, Lemony",,9.78E+12,,192,4,216914,1999,8502,Fiction,"Scholastic, Inc.",English,https://www.goodreads.com/book/show/78418.The_Reptile_Room
121,"The Bad Beginning
 (A Series of Unfortunate Events, #1)","Snicket, Lemony",439206472,9.78E+12,439206472,176,3.99,495812,1999,20820,Fiction,"Scholastic, Inc.",English,https://www.goodreads.com/book/show/78411.The_Bad_Beginning
122,"Ruin and Rising
 (The Shadow and Bone Trilogy, #3)","Bardugo, Leigh",,9.78E+12,,350,4.01,475929,2014,50591,Fantasy,Henry Holt and Company,English,https://www.goodreads.com/book/show/14061957-ruin-and-rising
123,"The Heir
 (The Selection, #4)","Cass, Kiera",,,B00MFYCZ2U,342,3.65,329986,2015,23444,Romance,HarperTeen,English,https://www.goodreads.com/book/show/22918050-the-heir
124,"The One
 (The Selection, #3)","Cass, Kiera",62059998,9.78E+12,62059998,323,4.16,635410,2014,41672,Romance,HarperTeen,English,https://www.goodreads.com/book/show/18635016-the-one
125,"The Elite
 (The Selection, #2)","Cass, Kiera",62059963,9.78E+12,62059963,336,3.96,713795,2013,42693,Romance,HarperTeen,English,https://www.goodreads.com/book/show/16248068-the-elite
126,"The Rebel King
 (All the King's Men, #2)","Ryan, Kennedy",,,B07Z7BRNT7,388,4.3,10653,2019,1644,Romance,Scribechick Media,English,https://www.goodreads.com/book/show/48559004-the-rebel-king
127,"The Kingmaker
 (All the King's Men, #1)","Ryan, Kennedy",1732144346,9.78E+12,1732144346,344,4.11,15638,2019,2653,Romance,"Scribechick Media, LLC",English,https://www.goodreads.com/book/show/45024651-the-kingmaker
128,"The Girl in the Tower
 (The Winternight Trilogy, #2)","Arden, Katherine",1101885963,9.78E+12,1101885963,360,4.36,89739,2017,10048,Fantasy,Del Rey,English,https://www.goodreads.com/book/show/34050917-the-girl-in-the-tower
